frame,úhel_trupu
1,5.43
2,5.93
3,6.37
4,6.53
5,6.84
6,7.78
7,8.63
8,9.36
9,10.20
10,11.11
11,11.67
12,12.04
13,12.48
14,12.52
15,12.26
16,11.94
17,12.04
18,11.88
19,12.01
20,12.42
21,12.86
22,13.09
23,13.20
24,13.44
25,13.70
26,14.30
27,15.53
28,17.67
29,20.07
30,23.08
31,26.72
32,30.70
33,34.59
34,38.56
35,42.20
36,45.27
37,48.19
38,50.64
39,52.59
40,54.09
41,55.31
42,56.12
43,56.60
44,56.75
45,56.43
46,55.58
47,54.41
48,53.08
49,51.60
50,49.95
51,48.39
52,46.77
53,45.08
54,43.43
55,42.19
56,41.24
57,40.32
58,39.17
59,38.03
60,37.22
61,37.08
62,37.02
63,37.62
64,38.37
65,39.13
66,39.89
67,40.71
68,42.20
69,43.85
70,45.60
71,47.12
72,48.81
73,50.19
74,52.22
75,53.89
76,55.21
77,56.08
78,56.74
79,57.12
80,57.30
81,57.37
82,57.51
83,57.59
84,57.49
85,57.22
86,56.91
87,56.57
88,56.14
89,55.35
90,54.74
91,54.33
92,54.00
93,53.75
94,53.73
95,53.65
96,53.47
97,53.12
98,52.85
99,52.72
100,52.81
101,52.95
102,53.15
103,53.20
104,53.20
105,53.01
106,52.99
107,52.48
108,52.14
109,52.24
110,52.62
111,53.00
112,53.72
113,54.19
114,54.38
115,54.51
116,54.82
117,55.14
118,55.86
119,56.85
120,58.01
121,59.64
122,61.19
123,62.41
124,63.18
125,63.63
126,63.74
127,63.96
128,64.46
129,65.16
130,65.90
131,66.94
132,67.96
133,68.66
134,69.09
135,69.36
136,69.41
137,69.34
138,69.10
139,68.76
140,68.44
141,68.19
142,68.05
143,68.06
144,68.23
145,68.42
146,68.57
147,68.74
148,68.99
149,69.45
150,69.99
151,70.61
152,70.91
153,71.03
154,70.91
155,70.99
156,70.71
157,69.51
158,68.17
159,66.79
160,65.31
161,63.92
162,62.90
163,61.89
164,60.98
165,60.02
166,59.00
167,57.85
168,56.98
169,56.17
170,55.43
171,54.39
172,53.03
173,51.67
174,50.14
175,48.56
176,46.31
177,44.81
178,42.87
179,40.34
180,38.36
181,37.19
182,34.81
183,33.22
184,31.90
185,30.41
186,29.39
187,28.98
188,28.45
189,28.18
190,28.06
191,27.37
192,26.77
193,26.08
194,25.20
195,24.05
196,22.84
197,21.27
198,19.60
199,18.26
200,17.20
201,16.54
202,15.04
203,13.42
204,12.54
205,12.13
206,12.21
207,13.18
208,15.09
209,16.78
210,18.72
211,20.43
