frame,úhel_trupu
1,58.87
2,59.24
3,59.48
4,59.35
5,59.11
6,58.62
7,57.69
8,56.53
9,55.55
10,54.72
11,53.95
12,53.19
13,52.73
14,52.06
15,51.22
16,49.84
17,48.69
18,47.77
19,46.55
20,44.83
21,43.80
22,42.21
23,40.18
24,38.56
25,37.62
26,35.55
27,33.95
28,32.80
29,31.18
30,29.85
31,29.36
32,29.30
33,29.20
34,29.50
35,29.31
36,29.18
37,28.28
38,26.96
39,25.38
40,24.03
41,22.14
42,20.59
43,19.17
44,17.94
45,17.01
46,15.44
47,13.81
48,13.06
49,12.58
50,12.53
51,13.55
52,15.10
53,16.47
54,18.38
55,20.10
56,21.99
57,23.93
58,26.21
59,28.53
60,30.95
61,33.17
62,35.35
63,37.19
64,38.76
65,40.06
66,41.42
67,42.43
68,43.29
69,44.12
70,44.87
71,45.58
72,46.33
73,47.15
74,47.84
75,48.36
76,48.69
77,48.90
78,48.92
79,48.79
80,48.52
81,48.07
82,47.11
83,46.09
84,45.01
85,43.64
86,42.32
87,40.83
88,39.09
89,37.16
90,35.41
91,33.57
92,31.95
93,30.48
94,29.12
95,27.80
96,26.60
97,24.91
98,23.26
99,21.84
100,20.56
101,19.53
102,18.86
103,17.08
104,15.68
105,14.76
106,13.67
107,12.61
108,12.33
109,12.22
110,11.65
111,11.43
112,11.34
113,11.04
114,10.72
115,10.41
116,10.70
117,11.53
118,12.53
119,13.52
120,14.46
121,15.19
122,15.68
123,16.00
124,16.92
125,18.30
126,19.90
127,21.91
128,24.71
129,27.13
130,29.48
131,31.58
132,32.89
133,34.10
134,36.08
135,37.99
136,39.68
137,42.01
138,44.09
139,46.03
140,48.05
141,50.36
142,52.08
143,53.78
144,54.74
145,55.21
146,55.39
147,55.47
148,55.24
149,54.99
150,54.81
151,54.86
152,55.10
153,55.37
154,55.62
155,55.86
156,55.93
157,56.01
158,56.09
159,56.16
160,56.25
161,56.93
162,57.47
163,58.05
164,58.55
165,59.04
166,59.49
167,59.76
168,60.06
169,60.85
170,61.75
171,62.55
172,63.29
173,64.00
174,64.40
175,64.84
176,65.45
177,66.05
178,66.61
179,67.02
180,67.26
181,67.35
182,67.56
183,67.61
184,67.59
185,67.45
186,67.37
187,67.46
188,67.46
189,67.44
190,66.86
191,66.33
192,65.72
193,65.24
194,64.79
195,64.89
196,65.02
197,65.12
198,65.43
199,66.04
200,66.47
201,66.66
202,66.88
203,66.89
204,66.82
205,66.85
206,66.99
207,67.10
208,67.52
209,67.87
210,68.06
211,68.28
212,68.44
213,68.40
214,68.41
215,68.30
216,68.04
217,67.85
218,67.75
219,67.77
220,67.97
221,68.19
222,68.27
223,68.28
224,67.64
225,67.31
226,67.04
227,66.87
228,67.09
229,67.65
230,67.84
231,68.11
232,68.38
233,68.62
234,68.96
235,69.50
236,69.81
237,69.64
238,69.45
239,69.35
240,69.14
241,68.78
242,68.48
243,68.06
244,67.62
245,67.46
246,67.76
247,68.14
248,68.63
249,69.12
250,69.36
251,69.63
252,69.26
253,68.78
254,68.38
255,68.11
256,67.81
257,67.65
258,67.21
259,66.42
260,65.51
261,64.64
262,64.12
263,63.59
264,63.24
265,62.70
266,61.92
267,60.97
268,59.71
269,58.52
270,57.41
271,56.74
272,56.69
273,56.76
274,56.91
275,57.29
276,57.91
277,58.15
278,58.18
279,57.36
280,56.37
281,55.53
282,55.39
283,56.03
284,57.40
285,58.90
286,60.49
287,61.57
288,61.93
289,62.19
290,62.20
291,61.74
292,60.95
293,59.82
294,58.13
295,56.44
296,54.88
297,53.43
298,52.15
299,50.95
300,49.94
301,48.89
302,48.18
303,47.65
304,47.14
305,46.49
306,46.22
307,45.88
308,45.47
309,45.20
310,45.13
311,45.01
312,44.83
313,44.17
314,43.66
315,43.23
316,42.93
317,42.72
318,42.75
319,43.23
320,44.22
321,45.58
322,47.06
323,48.21
324,49.09
325,50.02
326,50.90
327,51.61
328,53.04
329,54.89
330,56.64
331,58.35
332,60.84
333,62.86
334,64.58
335,65.97
336,67.18
337,67.59
338,67.72
339,67.76
340,67.88
341,68.05
342,68.35
343,68.66
344,68.98
345,69.26
346,69.57
347,69.96
348,70.23
349,70.49
350,70.75
351,71.14
352,71.59
353,72.08
354,72.73
355,73.47
356,74.35
357,75.09
358,75.79
359,76.35
360,76.81
361,77.10
362,77.27
363,77.38
364,77.40
365,77.43
366,77.44
367,77.45
368,77.60
369,77.77
370,77.89
371,77.95
372,77.86
373,77.63
374,77.47
375,77.35
376,77.35
377,77.33
378,77.34
379,77.16
380,77.00
381,76.70
382,76.07
383,75.57
384,75.36
385,75.47
386,75.72
387,76.09
388,76.11
389,75.79
390,74.74
391,73.73
392,72.60
393,71.52
394,70.46
395,69.66
396,68.64
397,67.21
398,65.34
399,63.16
400,60.48
401,57.34
402,54.13
403,50.57
404,47.08
405,44.22
