frame,úhel_trupu
1,7.16
2,7.96
3,7.60
4,7.31
5,7.36
6,7.91
7,8.43
8,9.14
9,10.00
10,10.87
11,11.49
12,11.94
13,12.42
14,12.51
15,12.30
16,11.98
17,12.03
18,11.82
19,11.93
20,12.33
21,12.76
22,13.02
23,13.20
24,13.49
25,13.76
26,14.37
27,15.57
28,17.58
29,19.91
30,22.85
31,26.47
32,30.43
33,34.33
34,38.29
35,41.92
36,45.04
37,48.03
38,50.56
39,52.52
40,54.08
41,55.23
42,55.95
43,56.46
44,56.67
45,56.36
46,55.54
47,54.35
48,52.95
49,51.44
50,49.78
51,48.26
52,46.68
53,45.03
54,43.30
55,42.06
56,41.01
57,40.24
58,39.05
59,38.26
60,38.10
61,38.33
62,38.48
63,38.99
64,39.64
65,39.84
66,40.03
67,40.52
68,41.52
69,42.97
70,44.60
71,46.23
72,48.04
73,49.72
74,52.08
75,54.04
76,55.46
77,56.34
78,57.00
79,57.20
80,57.27
81,57.24
82,57.37
83,57.42
84,57.36
85,57.09
86,56.81
87,56.45
88,56.06
89,55.30
90,54.71
91,54.39
92,54.15
93,53.95
94,53.90
95,53.85
96,53.62
97,53.17
98,52.82
99,52.72
100,52.79
101,53.03
102,53.25
103,53.34
104,53.35
105,53.11
106,52.93
107,52.48
108,52.23
109,52.30
110,52.70
111,53.09
112,53.86
113,54.27
114,54.44
115,54.47
116,54.63
117,54.82
118,55.30
119,56.00
120,57.11
121,58.61
122,59.97
123,61.02
124,61.68
125,62.09
126,62.22
127,62.56
128,63.32
129,64.13
130,65.13
131,66.50
132,67.68
133,68.47
134,69.01
135,69.22
136,69.17
137,69.05
138,68.86
139,68.69
140,68.60
141,68.57
142,68.54
143,68.60
144,68.75
145,68.91
146,69.06
147,69.26
148,69.61
149,70.04
150,70.56
151,71.01
152,71.13
153,71.07
154,70.74
155,70.51
156,69.83
157,68.80
158,67.62
159,66.35
160,64.98
161,63.62
162,62.44
163,61.42
164,60.47
165,59.54
166,58.60
167,57.59
168,56.78
169,56.10
170,55.40
171,54.58
172,53.39
173,52.18
174,50.69
175,49.01
176,46.74
177,45.13
178,43.07
179,40.45
180,38.56
181,37.30
182,34.74
183,33.15
184,31.92
185,30.35
186,29.31
187,28.97
188,28.37
189,28.02
190,27.96
191,27.17
192,26.52
193,25.92
194,24.85
195,23.60
196,22.60
197,21.19
198,19.58
199,18.32
200,17.29
201,16.52
202,15.03
203,13.44
204,12.65
205,12.26
206,12.40
207,13.30
208,15.17
209,16.84
210,18.72
211,20.40
212,22.32
213,24.10
214,26.24
215,28.49
216,30.91
217,33.10
218,35.29
219,37.14
220,38.71
221,40.02
222,41.40
223,42.41
224,43.25
225,44.09
226,44.81
227,45.52
228,46.26
229,47.09
230,47.76
231,48.27
232,48.61
233,48.81
234,48.83
235,48.73
236,48.48
237,48.02
238,47.10
239,46.12
240,45.08
241,43.70
242,42.38
243,40.87
244,39.11
245,37.17
246,35.42
247,33.58
248,31.97
249,30.50
250,29.13
251,27.83
252,26.59
253,24.86
254,23.18
255,21.75
256,20.38
257,19.31
258,18.68
259,17.04
260,15.65
261,14.77
262,13.72
263,12.84
264,12.53
265,12.42
266,11.86
267,11.63
268,11.47
269,11.17
270,10.86
271,10.48
272,10.80
273,11.60
274,12.99
275,14.22
276,15.30
277,16.01
278,16.34
279,16.31
280,17.04
281,18.25
282,19.83
283,21.82
284,24.60
285,26.82
286,29.12
287,31.11
288,32.55
289,33.94
290,35.94
291,37.97
292,39.72
293,41.91
294,44.01
295,45.91
296,47.75
297,50.00
298,51.92
299,53.59
300,54.59
301,55.19
302,55.56
303,55.67
304,55.46
305,55.21
306,55.07
307,55.13
308,55.28
309,55.52
310,55.71
311,55.92
312,55.92
313,56.11
314,56.24
315,56.33
316,56.36
317,56.90
318,57.24
319,57.68
320,58.19
321,58.75
322,59.33
323,59.68
324,60.05
325,60.83
326,61.75
327,62.58
328,63.32
329,64.02
330,64.44
331,64.87
332,65.38
333,65.96
334,66.50
335,66.90
336,67.16
337,67.31
338,67.66
339,67.83
340,67.88
341,67.79
342,67.69
343,67.48
344,67.32
345,67.27
346,67.00
347,66.77
348,66.15
349,65.50
350,65.07
351,65.05
352,65.22
353,65.59
354,66.05
355,66.51
356,66.84
357,67.15
358,67.30
359,67.26
360,67.22
361,67.05
362,66.87
363,66.80
364,66.93
365,66.81
366,66.79
367,66.92
368,67.00
369,67.04
370,67.19
371,67.26
372,67.27
373,67.37
374,67.33
375,67.49
376,67.83
377,68.07
378,68.10
379,67.84
380,67.28
381,66.70
382,66.36
383,66.22
384,66.79
385,67.42
386,67.84
387,68.14
388,68.50
389,68.70
390,69.04
391,69.50
392,69.73
393,69.97
394,70.05
395,70.04
396,69.91
397,69.59
398,69.12
399,68.64
400,68.16
401,67.97
402,68.24
403,68.43
404,68.74
405,69.19
406,69.24
407,69.30
408,68.98
409,68.74
410,68.42
411,68.26
412,68.03
413,67.91
414,67.55
415,66.93
416,65.69
417,64.73
418,64.17
419,63.51
420,63.05
421,62.60
422,61.86
423,60.82
424,59.64
425,58.37
426,57.39
427,56.83
428,56.89
429,56.97
430,57.03
431,57.37
432,57.86
433,58.12
434,57.79
435,56.77
436,55.58
437,54.70
438,54.57
439,55.30
440,56.71
441,58.34
442,59.93
443,61.38
444,61.98
445,62.36
446,62.50
447,62.07
448,61.07
449,59.74
450,58.02
451,56.36
452,54.79
453,53.32
454,52.18
455,51.03
456,50.00
457,49.06
458,48.39
459,47.81
460,47.29
461,46.62
462,46.33
463,45.99
464,45.51
465,45.19
466,45.13
467,45.01
468,44.87
469,44.05
470,43.45
471,42.95
472,42.60
473,42.34
474,42.45
475,42.92
476,43.99
477,45.43
478,46.98
479,48.23
480,49.20
481,50.18
482,51.06
483,51.77
484,53.16
485,55.01
486,56.74
487,58.44
488,60.89
489,62.92
490,64.66
491,65.99
492,67.26
493,67.75
494,67.91
495,67.99
496,68.13
497,68.23
498,68.41
499,68.67
500,68.96
501,69.24
502,69.60
503,70.03
504,70.30
505,70.48
506,70.74
507,71.03
508,71.42
509,71.95
510,72.60
511,73.34
512,74.19
513,74.93
514,75.60
515,76.18
516,76.64
517,76.97
518,77.18
519,77.31
520,77.35
521,77.41
522,77.45
523,77.49
524,77.65
525,77.82
526,77.91
527,77.97
528,77.88
529,77.69
530,77.59
531,77.53
532,77.58
533,77.57
534,77.55
535,77.24
536,76.96
537,76.57
538,75.99
539,75.51
540,75.31
541,75.17
542,75.24
543,75.43
544,75.35
545,75.11
546,74.67
547,74.02
548,72.95
549,71.94
550,70.92
551,70.11
552,68.93
553,67.64
554,65.81
555,63.54
556,60.81
557,58.01
558,54.88
559,51.38
560,48.01
561,45.00
562,42.12
563,38.97
564,35.58
565,32.34
566,28.91
567,24.70
568,20.80
569,17.48
570,15.57
571,14.49
572,13.35
573,11.92
574,10.58
575,9.33
576,8.18
577,7.18
578,6.34
579,5.86
580,5.41
581,5.16
582,5.23
583,5.87
584,6.84
585,8.65
586,10.22
587,11.16
588,11.67
589,12.13
590,12.28
591,12.40
592,12.93
593,13.41
594,13.67
595,13.71
596,13.89
597,13.95
598,13.87
599,14.25
600,14.43
601,14.27
602,14.03
603,13.99
604,13.64
605,13.52
606,13.70
607,13.76
608,13.37
609,12.57
610,11.88
611,11.58
612,10.81
613,10.42
614,10.33
615,10.10
616,8.72
617,7.93
618,7.22
619,6.61
620,5.91
621,5.17
622,4.24
623,3.23
624,2.25
625,1.63
626,2.45
627,3.97
628,6.02
629,9.01
630,11.21
631,12.60
632,14.47
633,16.78
634,17.96
635,17.70
636,16.69
637,15.16
638,14.19
